user_id,age,gender,country,education_level,hours_spent_weekly,preferred_device,course_completed,satisfaction_rating,login_frequency,quiz_score_avg
user_0001,56,Male,UK,High School,5.7,Desktop,No,4,10,87.6
user_0002,46,Other,India,PhD,4.1,Mobile,No,4,14,51.2
user_0003,32,Male,Canada,Master,4.6,Desktop,No,2,9,44.0
user_0004,25,Female,Canada,PhD,1.4,Desktop,No,5,1,99.9
user_0005,38,Other,Australia,PhD,8.4,Mobile,No,1,5,41.5
user_0006,56,Other,Canada,Bachelor,4.6,Tablet,Yes,4,3,90.1
user_0007,36,Other,India,High School,8.8,Tablet,Yes,1,6,61.9
user_0008,40,Other,India,Other,18.8,Desktop,No,4,10,90.5
user_0009,28,Female,Canada,High School,9.2,Mobile,Yes,5,2,73.3
user_0010,28,Other,India,Other,17.7,Tablet,Yes,4,9,94.1
user_0011,41,Other,Australia,High School,12.5,Desktop,No,4,6,95.6
user_0012,53,Male,USA,PhD,5.7,Desktop,No,3,7,40.5
user_0013,57,Other,Australia,Master,7.8,Mobile,Yes,5,5,44.5
user_0014,41,Female,Australia,Master,2.6,Desktop,No,2,9,55.0
user_0015,20,Female,India,Bachelor,7.3,Tablet,Yes,2,1,80.2
user_0016,39,Female,USA,Other,13.9,Mobile,Yes,5,5,93.3
user_0017,19,Female,India,Other,2.4,Tablet,No,2,11,67.6
user_0018,41,Other,UK,Other,4.9,Tablet,Yes,5,10,76.4
user_0019,47,Other,India,PhD,8.2,Tablet,Yes,2,11,51.3
user_0020,55,Female,India,Other,19.7,Desktop,Yes,3,6,88.3
user_0021,19,Female,India,Master,15.9,Desktop,No,2,7,98.0
user_0022,38,Other,USA,PhD,14.9,Tablet,No,4,12,56.1
user_0023,50,Female,India,High School,3.2,Tablet,No,5,4,69.7
user_0024,29,Male,USA,Other,15.8,Mobile,No,1,12,45.2
user_0025,39,Female,Canada,Other,15.9,Mobile,Yes,1,13,73.5
user_0026,42,Female,UK,High School,12.4,Desktop,No,5,1,70.2
user_0027,44,Male,USA,Other,19.8,Desktop,No,3,11,48.7
user_0028,59,Male,Canada,High School,7.2,Mobile,No,2,8,66.5
user_0029,45,Other,USA,PhD,18.9,Tablet,No,3,10,60.0
user_0030,33,Other,USA,Master,18.4,Desktop,Yes,1,4,71.3
user_0031,32,Male,UK,High School,1.2,Tablet,Yes,5,3,75.1
user_0032,20,Male,Australia,Bachelor,9.6,Mobile,Yes,5,12,40.5
user_0033,54,Other,Australia,High School,19.6,Desktop,No,3,7,85.7
user_0034,24,Female,USA,Other,3.0,Desktop,No,3,12,82.8
user_0035,38,Male,India,PhD,11.4,Mobile,Yes,2,2,62.0
user_0036,26,Other,Canada,PhD,19.6,Desktop,No,4,8,43.2
user_0037,56,Female,India,High School,11.6,Mobile,No,4,14,85.3
user_0038,35,Male,India,Master,4.6,Desktop,Yes,2,6,97.3
user_0039,21,Female,USA,Bachelor,12.1,Mobile,Yes,4,7,54.4
user_0040,42,Other,USA,PhD,4.9,Desktop,No,1,14,59.4
user_0041,31,Male,USA,Other,10.9,Tablet,No,4,5,51.0
user_0042,26,Female,USA,Other,2.4,Tablet,No,2,9,74.6
user_0043,43,Male,Australia,Master,12.5,Tablet,Yes,4,5,49.3
user_0044,19,Female,USA,PhD,10.8,Desktop,Yes,5,11,61.4
